Unnamed: 0,Review,Original_aspect,Keyword,Product Link,Review Star,Sentiment
83,Want to know how I found out this desk doesn't have a collision sensor? When my desk tipped over backwards when it collided with my chair! Description is inaccurate and needs to be fixed!,performance,"tipped over, collided",,2.0,Negative
84,"Poor quality for the price and I can keep listing the cons I faced with this desk-

Installation is too complicated because the steps given in the manual is unclear.

No holes available to fix the control box. Needed to drill a pair of hole by myself to fix the control box.

The pipe they have given to cover the metal rod connected to motor is very cheap and if you apply even a little extra pressure it will break

They have given a small screws to hold the pipe covering the motor which is a crap and the screw head will break easily when you tighten with the screw driver

The small size L screw driver which came along bent easily and I was required to find one from my toolset and use that. Because what they sent are of cheap quality

The control button panel is a thin cheap plastic

Overall this a below average quality and design. Due to the size and weight of the product returning also needs more effort and I feel so bad for choosing this product despite of paying much.","ease of use, durability","complicated, unclear, break, crap",,1.0,Negative
85,"The item we received didn't even pass the quality check! There's this big red sticker on the transmission rod that says ""不合格"", which means it failed quality checks. It's unacceptable to knowingly send a defective item and just hope their customers don't understand Chinese. We reached out to the seller and asked for a refund. Instead of apologizing for it, they asked us if this is indeed defective. Well, the sticker is put there by the manufacturer. How could you expect your customers to know any better than the QA team? What if there're hidden problems we didn't notice? Definitely one of my worst shopping experiences on Amazon, not even mentioning that it took about two more weeks to arrive after Amazon marked it as delivered.","performance, durability","failed quality, worst, defective",,,Negative
86,"I use ECO liquid with good results so I decided to try the sheet. Not using a heavy plastic bottle was good incentive but my arthritic hands sinched the deal for the switch to light weight sheets. I love them! I get the same results and the sheets are light and the storage box is paper stock. They dissolve quickly.
Remember to follow the washing instructions on the box. I put a sheet in after loading clothes and water and the concentration of the detergent in the sheet discolored a spot on the tee shirt that the sheet dissolved on. I won't make that mistake again. In conclusion I have pleased to have made the switch to the detergent sheets. Give them a try.","ergonomics, performance, ease of use","light weight, dissolve quickly, arthritic ",https://www.amazon.com/ECOSNextTM-Liquidless-Laundry-Detergent-Lavender/dp/B082P8J28M?th=1&linkCode=ll1&tag=bv-shop-best-sustainable-products-20&linkId=c3bba7b024b0ce08ba32396c3dda91ac&language=en_US&ref_=as_li_ss_tl&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0722083120221202080300%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
87,"I have used ECOS for a few years now and I love this detergent. It saves so much space and is easy to use, even for my teenagers. It gets our clothes really clean. It is perfect to travel with. I have seen some of the negative reviews; my experience has been better. I have a newer top loading machine (no agitator) that can wash a large amount of clothes. I only use one sheet per load, unless it’s a very large load, then I use two sheets. It doesn’t leave any residue or undissolved detergent; my clothes are very clean and fresh. And I have always ordered and received two boxes.","ease of storage, ease of use, performance","space, easy to use, clean and fresh",,,Positive
88,I’ve been using ECOS for about 18 months and I love them!!! My husband is an avid gardener and makes his own compost and he gets really dirty but not a problem for ECOS. Big pluses I don’t have to carry heavy bottles of liquid detergent and no plastic bottles to recycle!,"ergonomics, ease of use, ease of reprocessing","heavy botlle, recycle",,,Positive
89,Love this bc it’s biodegradable and grey water friendly. And no waste! However you do need to use more than 2 sheets for dirty laundry…so there’s that. But it’s still a good product despite having to use a lot of it each time,ease of reprocessing,"biodegradable, no waste",,4.0,Positive
90,"These are great quality! They work well and the scent is nice and subtle. I love that they are low-waste, light, and easy to use.

My downside for this is, I thought that one sheet = one load. If you have a full load though, the back of the box recommends two sheets! So, I got less than I thought I was getting.","ease of use, intefernce, performance","easy to use, scent, one load",,,Positive
91,"The scent is just like their detergent, so very pleasant and mild. The sheets dissolve completely and the clothes come out clean. My only complaint is that the detergents this brand makes in the bottle comes with fabric softener in the mix, but these sheets are JUST the detergent, so there’s a noticeable difference in softness when the clothes are dry. For people who have a drying machine and use dryer sheets, this isn’t a problem, but I don’t have a dryer and have to hang dry all my laundry, so in order to use these and have soft clothes I’d need to buy a liquid fabric softener which currently nobody has made in a sheet form in a biodegradable box? Still on the search for this. But if sustainability is more important to you than soft clothes which tbh it should be, these are great!","inteference, performance","scent, mild, clean, softness",,,Positive
92,These would be great for traveling so you don’t have to risk spilling liquid or powders! I’ll probably save them for that purpose since they leave little to no scent in your clothes. I’ll probably use the liquid for home use still. It’s been great for my son with sensitive skin/winter eczema issues though!,"Adaptability, ease of storage, inteference, safety","spilling liquid, traveling, no scent, eczema",,3.0,Positive
93,Easy to use but the scent is odd and smells like patchouli not lily.,ntefernce,"scent is odd, patchouli",,,Negative
94,Leaves my clothes spotty and doesn't seem to clean them very well. I love Ecos liquid so I thought I could give this a chance but I'm disappointed.,"performance, intefernce","spotty, doesn’t seem to clean",,2.0,Negative
95,"We originally bought the double package of this product, but we’re only shipped one box. When I contacted customer service, they wouldn’t send me a single box to make up the difference, they wanted me to send the whole thing back, then they told me that the product didn’t come in a double box, even though it clearly stated that I purchased a double.
Once we got that issue sort of straightened out, I used the laundry sheets and was extremely disappointed. They did not clean my clothes, and left a residue on the inside of my washing machine. Other laundry sheet brands have NOT done this in my washing machine.
Overall, don’t waste your money in this product!","performance, intefernce","did not clean, residue",,1.0,Negative
96,"Wow, these really suck. I have seen these sheets and wanted to try them. I like to try & be environmentally conscious. Since I am moving across the country, I figured this would be a great time to try some. My only real problem with them is that you have to use 4 sheets to wash a load. I normally use Tide, just fill up the tray on my machine. About a cap full per load and everything is fine. My kids get very dirty. I think their favorite thing to do is dig in dirt. I tried using a sheet, didn't even look like my clothes had been washed. I kept upping it. It takes 4 sheets to do a load I normally used 1 cap full on. They smell fine, I bought 4 boxes, 2 different scents. They don't really leave a smell on the clothes. They are really convenient. I just rip one up & throw it in the laundry basket with the dirty clothes everytime I've gotten about a sheet full ( about a lightly filled small laundry basket worth) then just dump the whole thing in the washer. No problem with residue left behind. I love the sheets but will try another brand. These just aren't cost effective at all.","dirt, washed, Price",cost effective,,,Negative
97,"I felt bad because I used cotton rounds and micellar water (I like bioderma sensibio) to clean my face morning and night except for when I take a shower and I've been doing that routine for YEARS. I just think of all the cotton rounds int he trash. Since I bought these, I only use cotton rounds when I travel for convenience but I have saved so many cotton rounds from going in the trash! These work just the same, are softer, and 20 is enough that I never run out before clean ones are ready from my laundry. I just wash them with a normal cycle in a mesh bag with my masks. They have more complicated instructions but this works perfectly for me. These are probably saving me money too now that I would've normally bought more cotton rounds a few times. The main plus to me is saving me from making more trash every day. I've been using them for a for months.","Ease of Use, Ease of reprocessing, ergonomics","convenienve, wash, soft","Amazon.com: Greenzla Reusable Makeup Remover Pads (20 Pack) with a Washable Laundry Bag and Round Box for Storage, Reusable Bamboo Cotton Rounds for All Skin Types, Eco-Friendly Reusable Bamboo Cotton Pads : Beauty & Personal Care",5.0,Positive
98,"I’ve been using them to take off make up and generally clean my skin, and for a year these have held up! There are only a few that have maintained some make up marks through the washes but overall very clean!","Durability, performance","clean, held up ",,,Positive
99,Must wash before first use. A great alternative to disposable cotton rounds. Soft and absorbent. Gentle for eye area and sensitivite skin. Comes with a bag to wash rounds in. More sustainable alternative help fight against climate change!,"ergonomics, ease of reprocessing","soft, wash rounds",,,Positive
100,"I really enjoy these pads as they are soft on my face and get the job done. My only complaint is that, even if you only wash 5-10 at a time in the little pouch, stains stick. I’ve tossed a couple in the last few months for this reason but otherwise super happy with the purchase.",intefernce,stains stick,,4.0,Positive
101,"I bought two sets of these because I know my lazy self isn't going to want to wash just 20 of them. Plus there was a discount so why not. I use one side for one morning and then the next side the next morning. At night I just slap on my toner and pat it in. I use witch hazel and yeah it just slides off, so it's not super absorbent. Before this, I was buying Shisiedo cotton pads and that stuff adds up over time.",performance,not super absorbent,,,Negative
102,"These pads are quite soft, and they wash up very nicely. However, unlike cotton rounds, they are two pieces of fabric sewn together with nothing in between. The two pieces of fabric slide against one another, making them difficult to use. I resolved that by folding each pad in half while in use. Otherwise, they’re great!",ease of use,difficult to use,,,Positive
103,"I think the pads are too big. When you apply them to your face they handle awkwardly. The top layer moves without the bottom layer. They are only attached on the outer edge. I did soak them in water before I used but my product didn't absorb, it just sat on top and it rolls off. I'm hoping after they've been washed a couple times my product will absorb. I'm comparing to the cotton pads you find at the store which are smaller and easier to handle.","ergonomics, intefernce, performance","too big, awkwardly, didn’t absorb",,3.0,Negative
104,They are soft and stay soft after washing. Clean my face well with a cleaner or work well to apply toner. A little bigger than a normal disposable pad which has pros and cons. My issue is after washing…they roll up and have to be flattened (I’ve been putting a heavy candle on them., intefernce,"roll up, falttened",,,Negative
105,"A good idea, but, in the end not worth it.

1st - the discs are a good size, but, have no absorbency. I use micelar water for cleansing and it just beads and runs over the edge before it has a chance to sink in to the pad. This actually makes me doubt the “organic” claim somewhat. I have no proof one way or the other. I only have my experience with other organic cotton products to guide me here.

2nd - Washing up. The mesh bag is much too small to allow the discs to get properly clean in the washing machine, so I used a larger mesh bag I have for other things. Make up stains didn’t come out making me feel as if I am not using a clean product. Also, the wash cycle leaves the pads shrunk and crumpled up like a fortune cookie. They will never have the same aesthetically pleasing form they arrived in, unless you wish to iron them out after you wash them. That may be a lot of trouble for something you use to clean your face with, but your decision.

3rd - On arrival the presentation is pretty enough, but, the cardboard storage box is not something that will hold up in the steamy bathroom environment. In a paper vs. humidity battle, humidity will always win. I don’t care how good your bathroom fan is, that room is going to get humid and the storage box is going to get ruined quickly.","Perforamnce, ease of reprocessing","no absorbancy, too small",,2.0,Negative
106,"Sure these are soft and washable makeup removal pads, but they don't have any added texture (on one or both sides) for a soft exfoliating feel after the makeup is removed. They are too flimsy to hold their shape making them difficult to use.",Ergonomics,"texture, soft, too filmsy",,,Negative
107,"I really wanted to like these. I am really disappointed. Everyday, I use a dermatologist recommended tinted mineral sunscreen and light mineral powder (Basic Minerals veil and original) and it took me 3-4 PADS each time to get the makeup off. ( they are really small pads). I wasn't just using water on the pad, I used Cetaphil oil free liquid make up remover. I don't use mascara or eye makeup- so that isn't the problem. And, then, after washing and scrubbing the pads with soap, I couldn't get off all of the residue off the pads! They are in the trash. Either, I will go back to cotton balls or white face cloths or disposable face wipes to get my face clean.","inteference, performance","residue, 3-4 pads",,1.0,Negative
108,"This product is the Green Works Compostable Wipes repackaged and renamed. I have been buying these for years. My Amazon history shows my first purchase in 2015, but that was after I could no longer find them in the stores. Originally Green Works was Clorox Green Works and I could buy them locally. But once Clorox dropped the brand, I could only buy them online. Even had a automatic shipment set up. Lucky me as I happened to receive a package of six in December 2019 which managed to last through 2020 into 2021. But when I tried buying them again, they were no where to be found. I saw these from Clorox and wondered if they could be at least similar. Not only are they similar, they are the exact same product with a new name and packaging.

What I love about these wipes is the feel. They don't have that slimy wax paper feel that regular wipes have. These feel more like a paper towel. I've used them for so long because we have cats and I am constantly cleaning up after them. I wanted something without harmful chemicals that I could use around their food, toys, beds and litter boxes and have been pleased with these, in all incarnations, for around eight years.","ergonomics, safety, daptability","feel, harmful chemicals, use around food",https://www.amazon.com/Clorox-Compostable-Cleaning-Wipes-Purpose/dp/B09158614F/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0736088420221202080309%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
109,I don’t know where I first found this product but went in search for them again and ended up empty handed. Why they’re not in the stores is beyond me so I was very happy to find them here! I enjoy the lemon fragrance and the fact that they’re compostable which is better for the planet!,"inteference, ease of reprocessing","lemon fragance, compostable",,,Positive
110,These wipes make cleaning up so much easier plus the scent is light yet clean and fresh smelling,"ease of use, intefernce  ","easier, scent, fresh",,,Positive
111,I prefer to use products with chemicals that are less harsh. Most wipes are not to be used on food-contact surfaces because of their chemicals. These wipes tend to dry out quickly.,"durability, safety ","dry out quickly, checmials ",,4.0,Negative
112,"Very nice wipes that get simple jobs done. Lightly scented, not over powering and easy on the hands that don't feel so strong with chemicals and dry your hands out. 3 pack is a great value.","Ergonomics, intefernce","easy on the hands, lightly scented",,,Positive
113,"When it comes to cleaning wipes, we have been using Clorox forever. We mainly used the disinfecting wipes but when we saw these new Compostable cleaning wipes, we decided to give it a try.

We usually use the alcohol based wipes but with the kids, lately we try to switch to cleaning products that have less harsh chemical ingredients and these new wipes are made from plant based fibers, are compostable so it was an excellent choice for us.

When it comes to cleaning, they did a great job at removing grease and dirt. The scent was also very pleasant and left a very fresh scent behind.

All in all, these are a great alternative to the Clorox disinfecting wipes for the house. They won’t kill all the bacteria but they are safer for the environment.","ease of reprocessing, performance, intefernce","compostable, removing grease, scent",,,Positive
114,The chemical is a degreaser which will damage your hand if you use it without wearing gloves. I doubt to leave it dry after wiping as the instruction says as it is so strongly pulls oil from your skin.,safety,"skin, damage your hand",,3.0,Negative
115,"These are Clorox wipes, not much more to say except...
When I tried to pull the center one, 20 wipes were pulled out-a first for me with Clorox. They seem to be thicker, but are also NON-FLUSHABLE.

Since I do not compost, I cannot comment on that.

They are higher priced than before the pandemic so shop wisely for the best price.",ease of reprocessing,NON-FLUSHABLE,,,Negative
116,"I came back here to write a review that these are really hard to rip, often pulling 2-3 wipes before it catches on the slot in the lid. And upon further reading, this product contains no disinfectant. If you thought you were protecting yourself from pathogens with this product, you were wrong.","ease of use, ergonomics, performance ","hard to rip, disinfect",,2.0,Negative
117,"I guess I should have looked a little closer at the product description before ordering these wipes. My wife and I use Clorox wipes around our home all the time to clean and disinfect surfaces in the kitchen, bathroom, etc. I thought these would do the same thing but, being compostable, would be better for the environment. Wrong. These wipes are definitely better for the environment, and you can use them to wipe up spills, but they do not disinfect. So, in that sense, to me anyway, they are little more than expensive paper towels. In our household, we have five indoor cats, so we need wipes that both clean and disinfect.",performance,do not disinfect,,,Negative
118,"The cloth seems the same as a regular clorox wipe, but the cleaning solution just doesn't clean as well. Plus they leave a terrible cloudy film, even on a previously clean looking surface. Terrible.","perforamnce, inteference","don’t clean, cloudy film",,1.0,Negative
119,"I was a bit skeptical at first but when it became available for 50% off @ $20 I figure what the heck, why not give it a try. I've done cold brew over days and pouring hot coffee over ice... Both produce servicable to good products but with draw backs to each method. Cold brew while tasty took days to produce. Hot coffee was virtually instant just didn't taste as good. This product produced a delicious cup of iced coffee within minutes v. Waiting Days for my cold brew (although in fairness, once made, the cold brew will last days v. One drink). I am exceedingly happy with my purchase and bonus - the lavender color is gorgeous!","perforamnce, Aesthics","delicious, gorgeous","Amazon.com: Mr. Coffee Iced Coffee Maker, Single Serve Machine with 22-Ounce Tumbler and Reusable Coffee Filter, Black: Home & Kitchen",5.0,Positive
120,"First off, this is a $20 machine. Keep that in mind. Yes it brews hot water, yes the ice melts.
The biggest tip I have is: brew over coffee ice cubes, not regular water ice cubes. This was the final adjustment that elevated my iced coffee game. For real.

My only complaint is: the tumbler, straw, and lid are not dishwasher safe. They are hand wash only. It’s not a huge deal but I don’t see many people talking about that.
Honestly this maker is awesome, easy to use, makes great coffee, and is fairly small so it doesn’t take up much counter space. May my ice coffee addiction get worse! Cheers!","ease of reprocessing, ease of use, ease of storage","Not dishwasher safe, hand wash, easy to use, small, space",,,Positive
121,"I usually don't bother writing reviews, but I had to come & write one for this item. I have been a Dunkin' customer for 20 years, and it really is an addiction (coffee), but I was tired of paying prices & a 50/50 risk the coffee was good & made right, so I took a chance & bought this. I ABSOLUTELY LOVE IT. It really is so easy to use & makes a yummy iced coffee. Huge $ savings & always tastes perfect. I bought Dunkin coffee from the grocery store & I'll eventually try other brands. Coffee is done in 5 mins & it has a valve to stop dripping when done. Don't think twice about this one.","performance, ease of use","stop dripping, yummy ice coffe",,,Positive
122,"I bought this in an attempt to save money over the cold brew packs that you add to water and let sit overnight.

Pros:
1. You can use any type of ground coffee you want.
2. You'll save money over buying coffee out daily.
3. Less waste than k-cups.
4. Minimal wait time over cold brew packs and no need to have space in the fridge for a pitcher.

Cons:
1. Despite using the same type and amount of coffee and same amount of water, after 30 days of use my coffee tastes watered down almost immediately now.
2. There is no drip tray. Even switching the lever to off, it still drips onto your counters.
3. The basket that the filter goes into isn't very secure and doesn't ""lock"" into the machine.
4. Total time; filling with water, filling the tumbler with ice, adding ground coffee to the basket, letting it brew and then adding your creamer and/or sugar is about 8 minutes. (Coming from cold brew packs this feels like an eternity.)

If your someone who likes a larger amount of coffee in the morning and then a smaller amount in the afternoon, there is no option to make a smaller cup of it (unless you put the rest in the fridge). Overall, I like the machine and it's decent but I don't love it as much as making the cold brew packs. I wouldn't have paid full price for it, but since I got it on sale for $20 it was worth it.","adaptabiliity, use efficiency","any, minimal wait time",,4.0,Positive
123,"I really like this coffee maker and how easy it is to use. However, after a couple weeks of use it began to not use all the water that was in the reserve (and yes, I filled it up the water line and not over that). I have to now run the cycle twice so the machine uses all the water and brews a tumblers worth of iced coffee. Maybe I'm doing it wrong but I think it's defective. I ordered a replacement.","durability, performance","couple weeks, dfective",,,Negative
124,I just got this ice coffee maker and I love it my friend had one it was a little different and $20 more then what I paid it dose the same thing and my cup came with a lid and straw it’s easy to use and clean it says to use 1 scoop but I use 2 scoops I like a stronger taste.👍🏻,"ease of use, ease of reprocessing",easy to use and clean,,,Positive
125,"I am a huge Mr.Coffee fan AND an iced coffee fan, so when I saw this machine come out, I had to try it.

The instructions are pretty straight forward.. Pour in water, put coffee grinds in the filter, set the tumbler down (with ice) underneath where the coffee pours out from, and it the start button. Coffee should be done within 2 minutes. Simple right?

The issue that I came across was that I found it to be just like any other Mr. Coffee coffee machine, only for one serving, rather than 2+. I personally found it to be a pointless purchase, but I did appreciate the extra tumbler and reusable filter.","Performance, adaptability","one serving, pointless",,3.0,Negative
126,"Overall it's a simple to use machine that makes a quick, and tasty large cup of iced coffee.
My complaints are surrounding the post coffee making process. The machine is light weight and the pieces just stack on top of eachother. They don't really click in and feel a bit flimsy. Even after removing the used filter, the machine leaks remaining vapors and coffee on the area where it sits requiring cleanup every single time of use. The top cap cannot be removed and the steam collected on it continues to drip on the counter. The cup is a perfect size and keeps it cold for a while but I hate that it cannot be washes in the dishwasher","performance, intefernce, ease of reprocessing, adaptbility","filmsy, leaks, clean up, dishwasher",,,Negative
127,"This is just a really cheap coffee maker that tells you to use ice. It's cheaply made. The water gets hot and melts all the ice while it pours into your tumbler, no matter how much ice you use. By the time the coffee is done it's watered down room temperature coffee.",perfromance,"waterdowned, melts all the ice",,2.0,Negative
128,"After 1 month, today mine decided to piss hot water all over the counter. It’s not coming from the top spout, as I figured. It came from the inside of the body of the machine. I unplugged it and tossed it in the trash. Not worth electrocuting myself over a 20 dollar appliance.

Also, this isn’t iced coffee guys. It’s hot coffee put on ice. You can do the same thing with a regular coffee pot. Their proprietary measurement of ice is the only reason they call it iced coffee. Skip the bad engineering, buy a regular coffee pot and put ice in it if you’re set on it. You will get an identical product in the end.","inteference, durability, safety","piss hot water, electrocuting, body of the machine",,1.0,Negative
129,"My heading about says it. It takes 1/2 hour for the cup to fill. Well, not 1/2 but you get what I'm saying.
You can't be a working person and have this pot in your house in the morning. The base of the unit gets way too hot. I could see in the future a plastic melting pot. I know the price is great, now I know why.","use efficiency, intefernce","1/2 hour, too hot",,,Negative
130,"Pro: These are thick enough to do normal kitchen jobs; ie: wiping the counter, dishes etc..
Cons: You need to RE-LEARN how and what you do with a cloth-fiber like this.
Meaning: With a roll of paper towels you use then discard all of them and the roll contains a lot of paper towels...maybe 150 or more.
BUT with these...you got a pack of 10 or 12 or maybe you got a couple packs of them. Either way; you don't toss them out after use...you throw them in with the bath towels in the washing machine. So you need to be careful to NOT reuse the same one on dishes that you may have just wiped up the cat feeder dishes / bowls. Yukkk.
Once you learn this you WILL be happy.",perfroamnce,"thick,wiping",https://www.amazon.com/SUPERSCANDI-Dishcloths-Biodegradable-Replacement-Washcloths/dp/B08245KWYY/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O1536084120221206040520%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
131,"These dish cloths are long lasting and easy to use. You can pop them in the washing machine or hand wash in the sink. I use them to hand wash dishes, silverware, pots, and pans. Also use for cleaning up spills, crumbs off the countertop, and grease off the stove. So far, I've been able to use 1 per month, I could probably go 2 months. They are not easy to tear, but once I put them through the ringer, I just toss it out and grab a new one.","Durability, ease of use, ease of reprecossing","long lasting, easey to use,  not easy to tear, hand wash",,,Positive
132,"The quality and color of these Swedish towels is lovely. I ordered them, because the makers were careful about providing a useful product without any plastic packaging. Even the bag the held the towels was made of corn starch. I’d love to order more of these towels, but Amazon sent them to me in a BIG PLASTIC BAG! The page for the Swedish towels brags about being environmentally friendly. Why not use a paper or cardboard mailer? Come on, Amazon.","Aesthic, durability","quality, color",,,Positive
133,I love these wash cloths. They are a perfect size and absorption is nice. They don't look great after a washing but are the best cloths I've used in the kitchen. I will continue buying this product. My daughter liked them so much she ordered her own.,"Aesthic, performanec","doesn't look great, absorption",,4.0,Positive
134,"The positive aspects are that they are made from recycled materials, instead of new cotton as with a standard washcloth. Another good feature is that I put them in the dishwasher every time I run it, as opposed to a washcloth which I put in the washing machine. That is very convenient. If you are using these instead of paper towels, excellent! If you are already using dishcloths, I can't say they are so much different. They feel like a chamois rather than cloth fabric, if you like that.",ease of reprocessing,convenient,,,Positive
135,"This is a great alternative to constantly using paper TOWEL. And saves a bit of money especially cause other companies cost more just for a two pack. Stays together pretty well and each one last quite a long time. We've used it for dishes, counters, and light cleaning. Have not even needed to buy another pack yet.
The only con is that with the color, at least with the red, the dye seem to be come out for the first uses leaving red colored water behind. This wasn't too annoying because we mainly used it in the sink but made me a little wary about using it to clean up the high chair until we cleaned it a few times.
But an easy solution is the next set I buy will be without color.","Durability, adpatbility, aesthic","last quite a long time, dishes, counters, and light cleaning, dye",,,Positive
136,I needed something reusable and washable for dishwashing. I wanted to love these but I don’t think they’re right for dishwashing. Probably fine for cups but they weren’t great for scrubbing anything with food on it.,Perfroamnce,Not greate for scrubbing,,3.0,negative
137,"I have purchased multiple sets of these same type of “Swedish” dishcloths. It is my aim to use them instead of paper towels. I mainly use these to wipe down countertops and hand wash dishes. They also work well wiping down bathroom mirrors. I bought in different color sets to designate specific use or room of use. (Blue for bathrooms, white or washing dishes and yellow for wiping down kitchen counters.) When wet, these hold up better than wet paper towels. All can be laundered to sanitize and reuse a good many times. I was first introduced to “Swedish” dishcloths via a shopping network. I believe these purchased via Amazon work as well and are as durable. I will likely buy again.","adaptability, ease of reprocessing","countertop, dishes, bathroom, reuse",,,Positive
138,They do get sour. I’ve heard people say they don’t get sour but despite rinsing them several times a day I have found they do get sour and I don’t think that they dry out as quickly as advertised. I see no difference between these and a normal sponge.,"inteference, performnace","sour,  dry out                       ",,2.0,negative
139,"Play Video
 These were brand new and just taking them out of the package, THIS is what happened. They literally crumbled!! Worst product I've ever bought, seriously. In 57 yrs, I've never been so disappointed in a product that I would take the time to say something online to help others avoid the waste of money. DO NOT BUY. IMITATION KNOCK OFF THAT FALL APART","perforamnce, durability","crumbl, fall apart               ",,1.0,negative
140,I thought you were terrible. They don’t really absorb well. We don’t rinse off well. You are one of throwing them out. They will save you no money.,"perfroamnce, ease of reporcessing","absorb, rinse off",,,negative
141,"Recycle, and reuse love these !
Perfect packaging, substantial glass with a great seal on the bamboo lid. Nice enough to gift but you will want a set for yourself! Arrived in great packaging for safety but all recyclable ♻️ .","ease of processing, performance","great seal, reuse",https://www.amazon.com/Urban-Green-Containers-Organizer-Microwave/dp/B083H6C2LQ/?tag=bv-shop-best-sustainable-products-20&asc_source=browser&asc_refurl=https%3A%2F%2Fwww.bobvila.com%2Farticles%2Fbest-eco-friendly-products&ascsubtag=0000BV0000215659O1536084120221206040520%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B%2B&th=1,5.0,Positive
142,"These bamboo containers are beautiful but they break easily. I was so happy with the purchase, look great and are easily to clean. Since I bought them 2 have broken! They just slipped out of my hand and shattered. They are very slippery when washing them by hand. I have another type of glass containers and they have slipped out of my hand but have not shattered as the bamboo does. They just break too easily. I would not buy them again. They are pretty but break too fast.",ergonomics,"break too fast, slipped, shattered",,,negative
143," I’ve seen something similar to these at IKEA and loved the concept. When I saw this whole set on Amazon I couldn’t resist! They nestle into each other for easy storage and the bamboo lids fit securely on top to seal in food. I’ve been working hard to remove toxicity from my household and replacing the plastic lidded glassware with these bamboo and silicone lids is a great next step. They seal completely, store easily and look amazing.","ease of storage, performance, aesthic","easy storage, seal, look amazing",,,Positive
144,"I like these for the natural materials, but the smell of the bamboo lid can be quite strong when wet. The lid also pops up if the contents are too high in the container, because the friction fit isn't great. I bought several different kinds of glass containers at once to try different styles, and I prefer the type with latching lids. These are okay, but not my first choice when I'm reaching into the cupboard to grab a container.","inteference, performance","smell, pop off                          ",,4.0,negative
145,I bought this set back in September 2021 . loved it for the first month and then the medium size container started to loosen up and would not seal properly. So whenever I stored left over food I would have to put another container on top when storing in the fridge. Then recently the largest one started to develop mold/mildew. I always let the lids air out over night to dry out and only store away once completely dry. I wish there was a way to contact the seller for a refund or a replacement but unfortunately I have had zero luck.,"Performance, durability, intefernce","loosen up, not seal, mold",,,negative
146,"Absolutely love these, except the lids barely set on there. No click. No snap. No nothing. Definitely don’t use these to transport leftovers to grandmas house, I don’t think it would survive the car ride after the first turn you make. But they do work fine just to store foods in fridge and carefully stack.","Ergonomics, performance","no click, no snap, transport",,,negative
147,"I love the bowls and the wooden lids, except that the lids don't seat in the bowls, especially the largest bowl. I made a large salad and put the covered bowl in the refrigerator. The lid raises up unless I set another bowl or something on top of it. I washed everything by hand when I first got it. A few of the bowls have been in the dishwasher, but the lids have always been washed by hand","perfroamnce, intefernce","dopnt seast, raises up",,3.0,negative
148,Glass is very sturdy and great for oven and microwave use. Lid on the other hand looks like it's peeling and has caused splinters already. I've had the product for less than 2 weeks. The container very sturdy and durable the lid on the other hand not so much.,"durability, intefernce ","peeling, splinters, 2 weeks",,,negative
149,"These are very durable and well made-feeling containers HOWEVER if you want to keep them in the fridge, the moisture warps the lids and they no longer fit well. The lids are also prone to growing mold spots if they have moisture or food residue on them in the fridge. These mold spots will not simply wash away as they are imbedded in the bamboo ( I was able to get some spots out using sandpaper...).","durability, intefernce, safety, performance","durable, mold, no longer fit",,2.0,negative
150,"The bamboo lids grow mold easily. If you wash, dry right away or mold grows Lids do not stay on. Had to Rubber band shut. Save your money. Wish I would have returned.","safety, inteference",mold easily                             ,,1.0,negative
151,"
Play Video
 This containers looks nice but they don’t do the job properly . The lid won’t stay closed and food gets bad . I just realized it , I bought this on July I believe and I just started to use this container and this happens . So dissapointed","performance, safety","properly, wont stay closed, gets bad",,,negative
